Decade,GDP_pc,LE_0,LE_mean
1800,1351.0,36.234,27.305857142857143
1810,1436.4218999999998,37.96928571428572,28.216938775510204
1820,1696.726945,40.298500000000004,29.47135714285714
1830,1875.418056,40.3664,29.120742857142858
1840,2143.5480447368423,41.90236842105263,29.894511278195488
1850,2676.4651016666667,42.11933333333333,30.253857142857143
1860,2968.2833333333333,42.972833333333334,30.973071428571426
1870,3083.335838095238,42.170476190476194,30.57454081632653
1880,3367.7571260000004,44.1222,31.461985714285717
1890,3854.3307130000003,47.2501,32.41601428571428
1900,4439.537781372549,50.352450980392156,33.51456582633053
1910,4725.912347619048,51.003142857142855,33.242979591836736
1920,6054.867578676471,57.17066176470588,35.92254201680672
1930,7008.430085714285,60.95809523809524,37.32275024295433
1940,7703.571021176471,62.69394117647058,38.17331932773109
1950,3592.594570798611,50.427938749999996,33.66749301587301
1960,4909.87935237767,55.274939007580976,35.542753283449834
1970,6914.930110122282,59.107863111413046,37.00917692158385
1980,7786.846432461734,62.80879783163266,38.51157814322158
1990,6778.967688805249,63.82771319060773,38.732504992107344
2000,7726.741669447807,65.78358744326778,39.50268922628053
2010,9587.368760473186,68.94964369085173,41.14624835511491
2020,9481.150380239998,69.2763464,40.9797112
